background,geno,rep,mat,bf,af,inc,Plate.ID,n,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.10,germ.15
col,col,1,ll,LD,LD,ld,1,20,0,0,5,5,6,6,6,6,10
col,col,2,ll,LD,LD,ld,2,20,0,1,4,4,4,4,4,5,6
col,col,3,ll,LD,LD,ld,3,20,0,2,3,5,6,6,7,7,7
col,col,4,ll,LD,LD,ld,4,20,0,0,6,5,5,6,5,7,8
col,col,5,ll,LD,LD,ld,5,20,0,0,1,1,1,3,2,3,3
col,col,6,ll,LD,LD,ld,6,20,0,0,7,7,7,7,7,7,7
col,col,1,ll,LD,LD,sd,7,20,0,0,3,8,10,10,10,11,11
col,col,2,ll,LD,LD,sd,8,20,0,0,0,0,0,0,0,0,1
col,col,3,ll,LD,LD,sd,9,20,0,0,2,3,3,3,3,5,5
col,col,4,ll,LD,LD,sd,10,20,0,0,4,6,6,7,7,7,7
col,col,5,ll,LD,LD,sd,11,20,0,0,8,9,9,10,10,10,10
col,col,6,ll,LD,LD,sd,12,20,0,0,5,5,5,6,7,10,10
col,tem1,1,ll,LD,LD,ld,13,20,0,0,0,0,0,0,0,1,6
col,tem1,2,ll,LD,LD,ld,14,20,0,0,0,0,0,0,0,0,12
col,tem1,3,ll,LD,LD,ld,15,20,0,0,2,2,3,3,3,4,6
col,tem1,4,ll,LD,LD,ld,16,20,0,0,0,1,1,1,1,1,6
col,tem1,5,ll,LD,LD,ld,17,20,0,0,8,9,9,9,9,10,13
col,tem1,6,ll,LD,LD,ld,18,20,0,0,0,0,0,1,0,1,10
col,tem1,1,ll,LD,LD,sd,19,20,0,0,0,0,3,2,2,5,7
col,tem1,2,ll,LD,LD,sd,20,20,0,0,0,0,0,0,0,1,4
col,tem1,3,ll,LD,LD,sd,21,20,0,0,0,0,0,0,0,0,2
col,tem1,4,ll,LD,LD,sd,22,20,0,0,0,0,0,0,0,4,5
col,tem1,5,ll,LD,LD,sd,23,20,0,0,1,6,6,6,6,7,7
col,tem1,6,ll,LD,LD,sd,24,20,0,0,0,2,4,5,5,5,5
col,OX-TEM1,1,ll,LD,LD,ld,25,10,0,1,1,1,1,1,2,2,4
col,OX-TEM1,2,ll,LD,LD,ld,26,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,3,ll,LD,LD,ld,27,20,0,0,0,0,0,1,1,5,11
col,OX-TEM1,4,ll,LD,LD,ld,28,20,0,1,2,3,3,3,3,4,5
col,OX-TEM1,5,ll,LD,LD,ld,29,8,0,0,0,0,0,1,1,1,4
col,OX-TEM1,6,ll,LD,LD,ld,30,20,0,0,1,1,2,3,3,5,6
col,OX-TEM1,1,ll,LD,LD,sd,31,10,0,0,0,0,0,0,1,1,4
col,OX-TEM1,2,ll,LD,LD,sd,32,20,0,0,0,0,0,0,0,0,0
col,OX-TEM1,3,ll,LD,LD,sd,33,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,4,ll,LD,LD,sd,34,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,5,ll,LD,LD,sd,35,7,0,0,0,0,0,0,0,1,2
col,tem1,6,ll,LD,LD,sd,36,20,0,0,0,0,0,2,2,3,3
col,ft,1,ll,LD,LD,sd,37,20,0,0,0,2,3,3,3,3,4
col,ft,2,ll,LD,LD,sd,38,19,0,0,1,6,6,6,6,6,6
col,ft,3,ll,LD,LD,sd,39,20,0,1,5,10,10,10,10,10,10
col,ft,4,ll,LD,LD,sd,40,20,0,0,0,1,1,3,3,5,8
col,ft,5,ll,LD,LD,ld,41,20,0,0,0,0,0,1,1,1,4
col,ft,6,ll,LD,LD,ld,42,20,0,0,1,1,2,3,3,3,3
col,ft,1,ll,LD,LD,ld,43,20,0,1,1,2,2,3,3,3,5
col,ft,2,ll,LD,LD,ld,44,20,0,0,3,4,5,5,6,6,8
col,ft,3,ll,LD,LD,ld,45,20,0,0,1,1,1,1,1,1,3
col,ft,4,ll,LD,LD,ld,46,20,0,0,2,3,3,5,5,6,8
col,ft,5,ll,LD,LD,sd,47,20,0,0,6,7,9,9,9,9,9
col,ft,6,ll,LD,LD,sd,48,20,0,0,1,7,7,7,7,7,9
col,fd,1,ll,LD,LD,ld,49,20,0,0,10,10,12,12,12,12,13
col,fd,2,ll,LD,LD,ld,50,20,0,0,2,4,4,4,4,5,6
col,fd,3,ll,LD,LD,ld,51,20,0,0,1,2,2,2,2,3,3
col,fd,4,ll,LD,LD,ld,52,20,0,1,6,7,7,7,8,9,10
col,fd,5,ll,LD,LD,ld,53,20,0,0,5,6,8,8,8,8,8
col,fd,6,ll,LD,LD,ld,54,20,0,0,3,3,5,5,5,5,5
col,fd,1,ll,LD,LD,sd,55,20,0,0,6,14,16,16,16,16,16
col,fd,2,ll,LD,LD,sd,56,20,0,0,8,10,10,10,10,11,10
col,fd,3,ll,LD,LD,sd,57,20,0,0,3,7,7,7,7,7,8
col,fd,4,ll,LD,LD,sd,58,20,0,0,6,7,10,10,11,11,11
col,fd,5,ll,LD,LD,sd,59,20,0,0,5,6,6,6,6,6,6
col,fd,6,ll,LD,LD,sd,60,20,0,0,0,3,4,4,4,4,4
col,soc1,1,ll,LD,LD,ld,61,20,0,1,3,3,4,4,4,4,5
col,soc1,2,ll,LD,LD,ld,62,20,0,0,3,5,7,7,7,8,9
col,soc1,3,ll,LD,LD,ld,63,20,0,1,9,12,12,12,12,12,12
col,soc1,4,ll,LD,LD,ld,64,20,0,3,10,11,11,11,12,12,13
col,soc1,5,ll,LD,LD,ld,65,20,0,0,2,4,6,6,6,7,9
col,soc1,6,ll,LD,LD,ld,66,20,0,1,7,11,10,11,11,11,10
col,soc1,1,ll,LD,LD,sd,67,20,0,1,7,7,7,7,7,7,7
col,soc1,2,ll,LD,LD,sd,68,20,0,1,4,5,5,5,5,5,5
col,soc1,3,ll,LD,LD,sd,69,20,0,0,11,12,12,12,12,12,12
col,soc1,4,ll,LD,LD,sd,70,20,0,4,8,14,14,14,14,14,14
col,soc1,5,ll,LD,LD,sd,71,20,0,0,10,14,14,14,14,14,14
col,soc1,6,ll,LD,LD,sd,72,20,0,0,10,15,19,19,18,19,19
col,ap1,1,ll,LD,LD,ld,73,20,0,0,2,3,3,4,4,6,13
col,ap1,2,ll,LD,LD,ld,74,20,0,0,4,7,9,9,9,13,14
col,ap1,3,ll,LD,LD,ld,75,20,0,0,10,10,11,11,11,12,12
col,ap1,4,ll,LD,LD,ld,76,20,0,0,5,8,11,12,12,15,15
col,ap1,5,ll,LD,LD,ld,77,20,0,0,3,5,6,8,9,11,13
col,ap1,6,ll,LD,LD,ld,78,20,0,0,1,2,4,5,5,7,9
col,ap1,1,ll,LD,LD,sd,79,20,0,2,9,10,10,11,11,11,11
col,ap1,2,ll,LD,LD,sd,80,20,0,0,8,15,15,16,16,17,18
col,ap1,3,ll,LD,LD,sd,81,20,0,0,12,15,16,18,17,19,19
col,ap1,4,ll,LD,LD,sd,82,20,0,0,2,3,5,9,9,13,12
col,ap1,5,ll,LD,LD,sd,83,20,0,0,0,3,6,7,8,12,13
col,ap1,6,ll,LD,LD,sd,84,20,0,0,4,8,11,12,12,13,14
col,col,1,ls,LD,SD,ld,85,17,0,5,7,7,7,9,9,9,10
col,col,2,ls,LD,SD,ld,86,20,0,0,2,2,3,4,6,11,14
col,col,3,ls,LD,SD,ld,87,20,0,0,1,2,2,3,3,5,10
col,col,4,ls,LD,SD,ld,88,20,0,0,1,2,2,2,2,2,3
col,col,5,ls,LD,SD,ld,89,20,0,1,2,2,2,2,2,2,9
col,col,6,ls,LD,SD,ld,90,20,0,0,4,5,5,5,5,7,8
col,col,1,ls,LD,SD,sd,91,20,0,4,7,8,9,10,10,11,11
col,col,2,ls,LD,SD,sd,92,20,0,0,3,4,7,11,10,12,12
col,col,3,ls,LD,SD,sd,93,20,0,2,11,11,12,11,12,14,14
col,col,4,ls,LD,SD,sd,94,20,0,0,3,3,3,3,3,3,6
col,col,5,ls,LD,SD,sd,95,21,0,2,8,8,8,10,10,12,12
col,col,6,ls,LD,SD,sd,96,20,0,1,7,8,9,9,10,11,11
col,tem1,1,ls,LD,SD,ld,97,20,0,1,4,5,6,6,6,7,10
col,tem1,2,ls,LD,SD,ld,98,16,0,0,1,1,1,1,2,3,7
col,OX-TEM1,3,ls,LD,SD,ld,99,4,0,0,0,0,0,0,0,0,0
col,tem1,4,ls,LD,SD,ld,100,20,0,1,6,8,8,10,11,11,13
col,tem1,5,ls,LD,SD,ld,101,20,0,1,5,5,6,9,9,13,17
col,tem1,6,ls,LD,SD,ld,102,20,0,1,7,13,14,13,13,15,16
col,tem1,2,ls,LD,SD,sd,104,16,0,1,8,8,8,8,9,9,9
col,OX-TEM1,3,ls,LD,SD,sd,105,3,0,0,0,0,0,0,0,0,0
col,tem1,4,ls,LD,SD,sd,106,20,0,3,6,7,7,7,7,7,8
col,tem1,5,ls,LD,SD,sd,107,20,0,1,13,16,17,18,19,19,20
col,tem1,6,ls,LD,SD,sd,108,20,0,2,7,6,6,7,7,7,7
col,OX-TEM1,1,ls,LD,SD,ld,109,8,0,0,3,3,3,4,4,4,4
col,OX-TEM1,2,ls,LD,SD,ld,110,5,0,0,1,0,1,1,1,1,2
col,tem1,3,ls,LD,SD,ld,111,20,0,0,5,7,8,10,10,10,11
col,OX-TEM1,4,ls,LD,SD,ld,112,20,0,0,0,2,4,8,9,11,13
col,OX-TEM1,5,ls,LD,SD,ld,113,11,0,0,0,0,0,0,1,1,2
col,OX-TEM1,6,ls,LD,SD,ld,114,4,0,0,0,0,2,2,2,2,3
col,OX-TEM1,1,ls,LD,SD,sd,115,8,0,0,0,0,0,1,1,4,4
col,OX-TEM1,2,ls,LD,SD,sd,116,4,0,0,0,0,1,1,2,3,3
col,tem1,3,ls,LD,SD,sd,117,20,0,1,9,11,12,12,14,14,14
col,OX-TEM1,4,ls,LD,SD,sd,118,20,0,0,0,0,0,0,0,3,6
col,OX-TEM1,5,ls,LD,SD,sd,119,12,0,0,0,0,0,0,0,0,0
col,OX-TEM1,6,ls,LD,SD,sd,120,4,0,0,0,1,1,1,1,1,1
col,ft,1,ls,LD,SD,ld,121,20,0,1,2,2,2,2,3,5,7
col,ft,2,ls,LD,SD,ld,122,20,0,0,2,2,2,2,3,3,5
col,ft,3,ls,LD,SD,ld,123,21,0,2,8,9,9,9,9,9,9
col,ft,4,ls,LD,SD,ld,124,20,0,0,8,8,8,8,8,8,8
col,ft,5,ls,LD,SD,ld,125,20,0,0,0,3,3,3,4,4,5
col,ft,6,ls,LD,SD,ld,126,20,0,0,1,3,5,5,6,6,8
col,ft,1,ls,LD,SD,sd,127,20,0,0,1,2,2,2,3,5,8
col,ft,2,ls,LD,SD,sd,128,20,0,0,4,8,8,8,8,11,12
col,ft,3,ls,LD,SD,sd,129,20,0,0,8,11,13,13,13,13,14
col,ft,4,ls,LD,SD,sd,130,20,0,0,9,10,12,12,12,11,13
col,ft,5,ls,LD,SD,sd,131,20,0,0,2,9,10,10,10,10,11
col,ft,6,ls,LD,SD,sd,132,20,0,0,0,2,2,2,2,5,5
col,fd,1,ls,LD,SD,ld,133,21,0,1,9,12,13,13,13,14,16
col,fd,2,ls,LD,SD,ld,134,20,0,0,6,6,7,7,7,10,14
col,fd,3,ls,LD,SD,ld,135,20,0,0,4,5,6,6,6,7,8
col,fd,4,ls,LD,SD,ld,136,20,0,0,5,5,6,7,7,8,11
col,fd,5,ls,LD,SD,ld,137,20,0,9,14,16,16,16,16,17,17
col,fd,6,ls,LD,SD,ld,138,20,0,2,13,15,15,15,15,15,14
col,fd,1,ls,LD,SD,sd,139,20,0,7,16,17,18,18,18,20,20
col,fd,2,ls,LD,SD,sd,140,20,0,8,14,14,14,14,14,15,17
col,fd,3,ls,LD,SD,sd,141,20,0,7,13,13,13,13,13,13,16
col,fd,4,ls,LD,SD,sd,142,20,0,5,10,12,13,13,13,14,15
col,fd,5,ls,LD,SD,sd,143,20,0,9,15,15,16,16,17,17,16
col,fd,6,ls,LD,SD,sd,144,20,0,1,11,13,13,14,14,15,16
col,soc1,1,ls,LD,SD,ld,145,20,0,0,9,12,13,13,13,13,13
col,soc1,2,ls,LD,SD,ld,146,21,0,1,12,13,14,14,15,15,15
col,soc1,4,ls,LD,SD,ld,148,20,0,0,6,6,7,7,7,7,12
col,soc1,5,ls,LD,SD,ld,149,20,0,0,5,7,7,7,7,5,8
col,soc1,6,ls,LD,SD,ld,150,20,0,0,7,11,12,12,14,14,14
col,soc1,1,ls,LD,SD,sd,151,20,0,0,9,13,13,14,16,16,17
col,soc1,2,ls,LD,SD,sd,152,20,0,1,8,11,13,13,13,14,15
col,soc1,3,ls,LD,SD,sd,153,20,0,0,3,10,11,12,12,12,12
col,soc1,4,ls,LD,SD,sd,154,20,0,1,16,18,18,18,18,18,18
col,soc1,5,ls,LD,SD,sd,155,20,0,0,5,13,13,13,13,15,16
col,soc1,6,ls,LD,SD,sd,156,20,0,0,14,16,16,16,16,17,16
col,ap1,1,ls,LD,SD,ld,157,20,0,4,12,14,17,17,17,18,18
col,ap1,2,ls,LD,SD,ld,158,16,0,0,5,5,10,9,11,14,13
col,ap1,3,ls,LD,SD,ld,159,11,0,0,2,0,2,2,2,3,5
col,ap1,4,ls,LD,SD,ld,160,20,0,1,5,6,6,8,9,12,14
col,ap1,5,ls,LD,SD,ld,161,20,0,0,1,1,2,3,4,6,6
col,ap1,6,ls,LD,SD,ld,162,20,0,2,5,5,6,9,11,13,13
col,ap1,1,ls,LD,SD,sd,163,29,1,1,0,0,0,2,2,5,5
col,ap1,2,ls,LD,SD,sd,164,16,0,0,1,4,4,5,5,6,12
col,ap1,3,ls,LD,SD,sd,165,15,0,0,2,2,2,2,2,2,3
col,ap1,4,ls,LD,SD,sd,166,20,0,0,7,12,16,17,17,19,19
col,ap1,5,ls,LD,SD,sd,167,21,0,0,5,8,10,9,10,10,10
col,ap1,6,ls,LD,SD,sd,168,20,0,0,2,7,7,14,14,14,14
col,col,1,ss,SD,SD,ld,169,20,0,0,3,4,5,6,6,8,12
col,col,2,ss,SD,SD,ld,170,20,0,0,4,4,6,9,9,9,12
col,col,3,ss,SD,SD,ld,171,20,0,0,2,2,2,3,3,3,9
col,col,4,ss,SD,SD,ld,172,20,0,0,0,0,0,0,0,0,2
col,col,5,ss,SD,SD,ld,173,20,0,1,6,6,7,7,7,9,13
col,col,6,ss,SD,SD,ld,174,20,0,6,10,10,11,11,11,13,13
col,col,1,ss,SD,SD,sd,175,20,0,0,6,7,8,8,9,9,11
col,col,2,ss,SD,SD,sd,176,20,0,0,2,4,6,7,7,9,11
col,col,3,ss,SD,SD,sd,177,20,0,0,3,7,8,8,8,8,8
col,col,4,ss,SD,SD,sd,178,20,0,0,11,13,14,14,14,14,14
col,col,5,ss,SD,SD,sd,179,20,0,0,3,5,5,5,5,6,9
col,col,6,ss,SD,SD,sd,180,20,0,0,10,10,10,10,10,11,12
col,tem1,1,ss,SD,SD,ld,181,20,0,1,3,4,5,7,8,10,11
col,tem1,2,ss,SD,SD,ld,182,20,0,4,11,11,12,12,14,14,17
col,tem1,3,ss,SD,SD,ld,183,20,0,1,4,5,7,10,11,14,14
col,tem1,4,ss,SD,SD,ld,184,20,0,0,0,0,0,0,0,0,0
col,tem1,5,ss,SD,SD,ld,185,20,0,3,6,6,6,6,6,7,8
col,tem1,6,ss,SD,SD,ld,186,20,0,1,1,1,1,2,3,4,10
col,tem1,1,ss,SD,SD,sd,187,20,0,0,4,5,5,5,5,5,8
col,tem1,2,ss,SD,SD,sd,188,20,0,0,9,9,11,11,11,12,11
col,tem1,3,ss,SD,SD,sd,189,20,0,0,0,4,4,6,7,10,10
col,tem1,4,ss,SD,SD,sd,190,20,0,0,0,0,0,0,0,0,0
col,tem1,5,ss,SD,SD,sd,191,20,0,0,1,3,4,4,5,6,8
col,tem1,6,ss,SD,SD,sd,192,20,0,0,3,4,4,5,6,7,11
col,ft,1,ss,SD,SD,ld,205,20,0,0,3,4,5,5,6,8,8
col,ft,2,ss,SD,SD,ld,206,20,0,0,1,1,1,1,2,3,7
col,ft,3,ss,SD,SD,ld,207,20,0,1,10,10,14,16,16,17,17
col,ft,4,ss,SD,SD,ld,208,20,0,3,15,15,16,16,17,17,18
col,ft,5,ss,SD,SD,ld,209,20,0,3,7,10,10,10,10,12,12
col,ft,6,ss,SD,SD,ld,210,20,0,3,11,13,13,13,12,14,15
col,ft,1,ss,SD,SD,sd,211,20,0,3,8,7,9,9,9,10,10
col,ft,2,ss,SD,SD,sd,212,20,0,0,4,5,5,5,5,5,5
col,ft,3,ss,SD,SD,sd,213,20,0,0,6,10,13,13,13,13,14
col,ft,4,ss,SD,SD,sd,214,20,0,0,6,11,16,18,17,17,18
col,ft,5,ss,SD,SD,sd,215,20,0,0,0,6,6,9,9,17,17
col,ft,6,ss,SD,SD,sd,216,20,0,0,4,4,5,5,6,8,7
col,fd,1,ss,SD,SD,ld,217,20,0,1,11,13,13,13,13,14,14
col,fd,2,ss,SD,SD,ld,218,20,0,1,4,5,6,6,6,7,10
col,fd,3,ss,SD,SD,ld,219,20,0,0,1,1,2,3,5,6,10
col,fd,4,ss,SD,SD,ld,220,20,0,0,0,1,2,4,5,6,9
col,fd,5,ss,SD,SD,ld,221,20,0,2,2,3,5,4,5,10,10
col,fd,6,ss,SD,SD,ld,222,21,0,0,0,0,3,4,6,7,9
col,fd,1,ss,SD,SD,sd,223,20,0,2,7,10,10,10,11,11,13
col,fd,2,ss,SD,SD,sd,224,22,0,1,3,4,4,5,4,5,9
col,fd,3,ss,SD,SD,sd,225,20,0,0,6,11,11,11,12,12,12
col,fd,4,ss,SD,SD,sd,226,20,0,0,0,0,0,1,1,2,6
col,fd,5,ss,SD,SD,sd,227,20,0,0,8,11,11,12,13,15,15
col,fd,6,ss,SD,SD,sd,228,20,0,0,0,2,4,5,6,8,10
col,ap1,1,ss,SD,SD,ld,229,19,0,1,3,3,4,5,7,10,12
col,ap1,2,ss,SD,SD,ld,230,20,0,0,2,2,3,4,6,8,16
col,ap1,3,ss,SD,SD,ld,231,20,0,2,8,9,10,12,13,13,15
col,ap1,4,ss,SD,SD,ld,232,20,0,0,1,3,3,3,3,8,13
col,ap1,5,ss,SD,SD,ld,233,20,0,0,0,0,2,2,2,6,7
col,ap1,6,ss,SD,SD,ld,234,20,0,6,11,12,14,17,15,20,20
col,ap1,1,ss,SD,SD,sd,235,19,0,3,10,11,11,13,13,13,13
col,ap1,2,ss,SD,SD,sd,236,20,0,0,4,8,10,12,12,15,14
col,ap1,3,ss,SD,SD,sd,237,20,0,0,4,6,9,9,10,12,14
col,ap1,4,ss,SD,SD,sd,238,21,0,0,9,10,12,12,12,14,13
col,ap1,5,ss,SD,SD,sd,239,20,0,0,0,1,1,2,2,5,5
col,ap1,6,ss,SD,SD,sd,240,20,0,5,9,9,9,11,10,15,16
col,soc1,1,ss,SD,SD,ld,241,21,0,3,8,10,10,10,10,11,11
col,soc1,2,ss,SD,SD,ld,242,19,0,2,7,7,7,7,7,8,10
col,soc1,3,ss,SD,SD,ld,243,20,0,1,7,8,11,11,12,13,13
col,soc1,4,ss,SD,SD,ld,244,20,0,7,9,9,9,9,9,10,11
col,soc1,5,ss,SD,SD,ld,245,20,0,3,8,8,8,10,10,11,14
col,soc1,6,ss,SD,SD,ld,246,20,0,0,0,0,0,0,0,0,3
col,soc1,1,ss,SD,SD,sd,247,20,0,0,0,1,1,1,1,1,5
col,soc1,2,ss,SD,SD,sd,248,19,0,1,1,3,3,4,3,5,5
col,soc1,3,ss,SD,SD,sd,249,20,0,3,9,11,13,14,14,14,14
col,soc1,4,ss,SD,SD,sd,250,20,0,1,7,8,8,8,8,8,8
col,soc1,5,ss,SD,SD,sd,251,20,0,0,1,3,5,5,5,7,11
col,soc1,6,ss,SD,SD,sd,252,20,0,0,0,0,1,1,2,3,5
col,col,1,sl,SD,LD,ld,253,20,0,0,0,0,0,1,1,1,1
col,col,2,sl,SD,LD,ld,254,20,0,0,0,0,0,0,2,2,6
col,col,3,sl,SD,LD,ld,255,20,0,3,11,12,13,13,13,14,14
col,col,4,sl,SD,LD,ld,256,20,0,0,4,6,7,7,7,7,8
col,col,5,sl,SD,LD,ld,257,20,0,0,5,9,9,14,14,13,15
col,col,6,sl,SD,LD,ld,258,20,0,0,2,2,2,2,3,8,13
col,col,1,sl,SD,LD,sd,259,20,0,2,4,3,4,4,4,4,4
col,col,2,sl,SD,LD,sd,260,20,0,0,2,4,4,4,4,5,6
col,col,3,sl,SD,LD,sd,261,20,0,4,7,9,9,9,9,9,10
col,col,4,sl,SD,LD,sd,262,21,0,0,12,14,14,14,15,14,14
col,col,5,sl,SD,LD,sd,263,20,0,2,7,9,9,10,11,10,11
col,col,6,sl,SD,LD,sd,264,20,0,0,9,10,11,12,12,13,14
col,tem1,1,sl,SD,LD,ld,265,20,0,1,2,2,2,3,3,4,12
col,tem1,2,sl,SD,LD,ld,266,20,0,0,0,0,0,0,0,1,9
col,tem1,3,sl,SD,LD,ld,267,20,0,0,0,0,0,0,0,1,4
col,tem1,4,sl,SD,LD,ld,268,20,0,2,7,10,10,12,12,14,16
col,tem1,5,sl,SD,LD,ld,269,16,0,0,1,2,3,6,6,8,9
col,tem1,6,sl,SD,LD,ld,270,20,0,0,1,2,2,2,2,6,14
col,tem1,1,sl,SD,LD,sd,271,20,0,0,0,0,1,1,1,2,2
col,tem1,2,sl,SD,LD,sd,272,20,0,0,0,2,4,4,4,5,6
col,tem1,3,sl,SD,LD,sd,273,20,0,0,0,1,1,3,3,4,4
col,tem1,4,sl,SD,LD,sd,274,20,0,2,8,11,12,12,15,15,16
col,tem1,5,sl,SD,LD,sd,275,16,0,0,0,2,4,5,5,7,6
col,tem1,6,sl,SD,LD,sd,278,20,0,0,8,9,11,11,11,11,11
col,ft,1,sl,SD,LD,ld,289,20,0,0,1,1,1,1,2,3,3
col,ft,2,sl,SD,LD,ld,290,20,0,0,0,0,0,0,0,0,4
col,ft,3,sl,SD,LD,ld,291,20,0,1,4,4,4,4,6,7,9
col,ft,4,sl,SD,LD,ld,292,21,0,0,2,6,7,7,9,10,11
col,ft,5,sl,SD,LD,ld,293,20,0,0,0,0,0,0,0,2,4
col,ft,6,sl,SD,LD,ld,294,20,0,0,5,7,7,8,9,11,12
col,ft,2,sl,SD,LD,sd,296,20,0,1,5,5,5,6,7,7,7
col,ft,3,sl,SD,LD,sd,297,20,0,1,5,7,7,7,11,12,12
col,ft,4,sl,SD,LD,sd,298,20,0,1,10,11,11,13,13,13,13
col,ft,5,sl,SD,LD,sd,299,20,0,3,4,4,5,6,6,6,6
col,ft,6,sl,SD,LD,sd,300,20,0,8,12,12,12,14,14,15,15
col,fd,1,sl,SD,LD,ld,301,20,0,1,2,2,3,4,4,6,6
col,fd,2,sl,SD,LD,ld,302,20,0,3,6,8,9,9,9,10,10
col,fd,3,sl,SD,LD,ld,303,20,0,3,5,6,6,6,6,6,8
col,fd,4,sl,SD,LD,ld,304,20,0,1,5,6,6,6,6,8,9
col,fd,5,sl,SD,LD,ld,305,20,0,0,3,5,6,7,8,10,10
col,fd,6,sl,SD,LD,ld,306,19,0,0,0,1,1,2,3,5,8
col,fd,1,sl,SD,LD,sd,307,20,0,0,0,2,2,3,3,4,4
col,fd,2,sl,SD,LD,sd,308,20,0,1,3,5,4,6,6,6,6
col,fd,3,sl,SD,LD,sd,309,22,0,0,1,4,7,8,8,10,10
col,fd,4,sl,SD,LD,sd,310,22,0,0,0,0,2,4,4,5,8
col,fd,5,sl,SD,LD,sd,311,20,0,0,0,0,0,0,0,1,3
col,fd,6,sl,SD,LD,sd,312,20,0,0,0,0,0,0,0,4,6
col,soc1,1,sl,SD,LD,ld,313,21,0,0,0,0,0,0,0,0,5
col,soc1,2,sl,SD,LD,ld,314,20,0,1,2,2,2,3,3,5,9
col,soc1,3,sl,SD,LD,ld,315,21,0,1,3,3,3,3,3,6,9
col,soc1,4,sl,SD,LD,ld,316,20,0,0,2,2,3,3,3,3,4
col,soc1,5,sl,SD,LD,ld,317,20,0,3,6,7,8,8,9,10,11
col,soc1,6,sl,SD,LD,ld,318,20,0,0,3,3,3,3,3,3,5
col,soc1,1,sl,SD,LD,sd,319,20,0,1,4,5,6,6,6,6,6
col,soc1,2,sl,SD,LD,sd,320,20,0,0,1,6,9,9,9,11,13
col,soc1,3,sl,SD,LD,sd,321,21,0,0,2,3,4,4,4,4,5
col,soc1,4,sl,SD,LD,sd,322,20,0,2,8,9,9,9,9,9,9
col,soc1,5,sl,SD,LD,sd,323,20,0,1,7,10,10,10,10,10,11
col,soc1,6,sl,SD,LD,sd,324,20,0,1,6,8,9,8,8,8,8
col,ap1,1,sl,SD,LD,ld,325,20,0,0,0,0,0,0,0,2,6
col,ap1,2,sl,SD,LD,sd,326,20,0,0,2,3,8,8,8,10,14
col,ap1,3,sl,SD,LD,ld,327,20,0,0,6,7,9,10,10,10,13
col,ap1,4,sl,SD,LD,ld,328,20,0,0,1,3,4,4,6,9,15
col,ap1,4,ss,SD,LD,ld,329,20,0,0,0,0,0,0,0,0,0
col,ap1,6,sl,SD,LD,ld,330,20,0,0,0,0,0,0,0,0,8
col,ap1,1,sl,SD,LD,sd,331,20,0,0,0,0,0,0,0,0,0
col,ap1,2,sl,SD,LD,ld,332,20,0,0,3,3,1,2,2,4,8
col,ap1,3,sl,SD,LD,sd,333,20,0,0,1,6,6,8,9,11,11
col,ap1,4,sl,SD,LD,sd,334,20,0,0,0,0,0,0,0,0,0
col,ap1,5,sl,SD,LD,sd,335,20,0,0,0,0,0,0,0,0,0
col,ap1,6,sl,SD,LD,sd,336,20,0,0,0,0,0,2,4,7,11
