Plate.ID,mat,geno,inc,rep,n,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.10
1,ll,ler,ld,1,21,0,0,2,14,15,16,15,16
2,ll,ler,ld,2,20,0,0,0,4,11,10,11,12
3,ll,ler,ld,3,19,0,0,0,7,7,8,9,6
4,ll,ler,ld,4,20,0,0,12,16,16,17,17,19
5,ll,ler,ld,5,20,0,0,0,3,8,14,15,16
6,ll,ler,ld,6,20,0,0,0,1,1,3,7,11
7,ll,ler,sd,1,20,0,0,1,7,16,17,17,17
8,ll,ler,sd,2,20,0,0,1,5,9,12,12,16
9,ll,ler,sd,3,19,0,0,3,8,14,14,14,14
10,ll,ler,sd,4,20,0,0,10,19,20,20,20,20
11,ll,ler,sd,5,20,0,0,0,9,13,13,14,15
12,ll,ler,sd,6,20,0,0,3,11,16,16,17,17
13,ll,fd,ld,1,20,0,3,6,6,8,11,13,16
14,ll,ft,ld,2,20,0,3,10,10,10,11,10,13
15,ll,ft,ld,3,19,0,0,3,8,8,10,10,11
16,ll,ft,ld,4,20,0,1,4,5,16,16,18,19
17,ll,ft,ld,5,20,0,1,7,7,13,17,17,18
18,ll,ft,ld,6,18,0,4,15,16,18,18,15,17
19,ll,ft,sd,1,20,0,2,7,7,8,10,10,10
20,ll,ft,sd,2,20,0,4,7,8,8,0,15,18
21,ll,ft,sd,3,20,0,1,6,6,11,13,15,18
22,ll,ft,sd,4,20,0,3,10,16,21,21,20,20
23,ll,ft,sd,5,20,0,2,13,14,16,16,15,15
24,ll,ft,sd,6,21,0,9,16,20,17,19,20,19
25,ll,fd,ld,1,20,0,0,5,15,6,17,17,18
26,ll,fd,ld,2,20,0,0,2,8,11,12,14,17
27,ll,fd,ld,3,20,0,4,10,10,9,11,10,13
28,ll,fd,ld,4,21,0,12,21,21,21,21,21,21
29,ll,fd,ld,5,20,0,0,3,4,4,5,8,10
30,ll,fd,ld,6,20,0,2,10,12,14,18,18,18
31,ll,fd,sd,1,20,0,0,1,14,17,17,17,20
32,ll,fd,sd,2,20,0,0,1,8,14,16,16,17
33,ll,fd,sd,3,20,0,4,12,14,18,18,19,19
34,ll,fd,sd,4,20,0,3,18,18,20,20,20,20
35,ll,fd,sd,5,20,0,0,12,13,14,14,14,18
36,ll,fd,sd,6,21,0,0,14,16,19,20,20,20
37,ll,soc1,ld,1,20,0,0,14,16,6,20,20,20
38,ll,soc1,ld,2,20,0,0,3,9,14,16,16,18
39,ll,soc1,ld,3,20,0,0,3,11,16,18,19,20
40,ll,soc1,ld,4,20,0,0,6,18,20,20,19,20
41,ll,soc1,ld,5,20,0,0,5,9,11,16,17,17
42,ll,soc1,ld,6,20,0,3,7,14,19,20,20,20
43,ll,soc1,sd,1,20,0,0,5,15,20,20,20,20
44,ll,soc1,sd,2,20,0,0,6,16,18,19,18,18
45,ll,soc1,sd,3,20,0,0,1,9,14,19,20,20
46,ll,soc1,sd,4,20,0,0,3,9,18,18,19,19
47,ll,soc1,sd,5,20,0,0,2,8,11,15,15,15
48,ll,soc1,sd,6,20,0,1,16,18,18,19,19,19
49,ll,ap1,ld,1,20,0,4,16,17,16,17,17,17
50,ll,ap1,ld,2,20,0,3,8,12,14,16,17,17
51,ll,ap1,ld,3,20,0,4,15,16,18,19,20,20
52,ll,ap1,ld,4,19,0,0,13,18,19,19,19,19
53,ll,ap1,ld,5,20,0,0,2,8,16,16,16,16
54,ll,ap1,ld,6,20,0,0,7,10,12,15,14,16
55,ll,ap1,sd,1,20,0,3,17,18,18,19,19,19
56,ll,ap1,sd,2,20,0,1,16,18,20,20,20,20
57,ll,ap1,sd,3,20,0,4,18,20,20,20,20,20
58,ll,ap1,sd,4,20,0,1,10,17,19,19,19,19
59,ll,ap1,sd,5,20,0,0,1,6,14,18,19,19
60,ll,ap1,sd,6,20,0,2,6,8,16,16,17,17
61,ls,ler,ld,1,19,0,6,17,18,11,19,19,19
62,ls,ler,ld,2,20,0,0,7,9,11,16,14,16
63,ls,ler,ld,3,15,0,0,0,1,1,1,2,3
64,ls,ler,ld,4,17,0,0,0,2,2,4,4,4
65,ls,ler,ld,5,15,0,0,0,0,0,1,1,1
66,ls,ler,ld,6,20,0,0,0,0,0,0,0,1
67,ls,ler,sd,1,19,0,0,17,19,19,19,19,19
68,ls,ler,sd,2,20,0,0,18,20,20,20,20,20
69,ls,ler,sd,3,15,0,0,1,1,1,1,2,2
70,ls,ler,sd,4,18,0,0,3,4,6,6,5,6
71,ls,ler,sd,5,15,0,0,2,2,2,2,3,2
72,ls,ler,sd,6,20,0,0,0,0,1,1,1,1
73,ls,ft,ld,1,20,0,2,4,9,9,13,15,17
74,ls,ft,ld,2,20,0,2,9,12,14,13,13,13
75,ls,ft,ld,3,20,0,0,9,11,17,15,15,18
76,ls,ft,ld,4,20,0,0,16,18,20,20,20,20
77,ls,ft,ld,5,21,0,1,4,8,9,14,15,16
78,ls,ft,ld,6,15,0,0,0,0,1,1,4,5
79,ls,ft,sd,1,19,0,4,9,10,13,14,13,14
80,ls,ft,sd,2,20,0,1,6,7,11,15,13,13
81,ls,ft,sd,3,20,0,0,11,14,17,19,19,19
82,ls,ft,sd,4,20,0,0,12,16,19,19,20,19
83,ls,ft,sd,5,20,0,0,7,16,19,20,19,19
84,ls,ft,sd,6,15,0,0,5,7,8,8,8,8
85,ls,fd,ld,1,20,0,0,11,16,18,18,18,17
86,ls,fd,ld,2,20,0,2,9,18,18,18,18,17
87,ls,fd,ld,3,17,0,0,2,9,16,13,13,13
88,ls,fd,ld,4,20,0,0,8,10,12,16,16,16
89,ls,fd,ld,5,20,0,0,9,15,18,18,17,17
90,ls,fd,ld,6,12,0,0,5,8,9,9,10,9
91,ls,fd,sd,1,20,0,1,13,14,14,15,14,16
92,ls,fd,sd,2,20,0,2,17,18,18,18,19,18
93,ls,fd,sd,3,15,0,0,1,5,7,10,10,10
94,ls,fd,sd,4,20,0,0,9,13,15,15,14,15
95,ls,fd,sd,5,20,0,0,16,18,18,18,19,19
96,ls,fd,sd,6,12,0,5,10,12,12,12,12,12
97,ls,soc1,ld,1,21,0,0,1,4,8,8,8,8
98,ls,soc1,ld,2,20,0,0,10,10,18,13,14,15
99,ls,soc1,ld,3,20,0,1,5,7,10,16,18,18
100,ls,soc1,ld,4,20,0,0,12,13,15,16,17,17
101,ls,soc1,ld,5,20,0,5,11,13,13,16,18,17
102,ls,soc1,ld,6,20,0,1,15,16,15,15,17,17
103,ls,soc1,sd,1,20,0,0,1,2,4,10,9,10
104,ls,soc1,sd,2,20,0,0,12,15,17,19,19,20
105,ls,soc1,sd,3,20,0,1,11,14,15,16,17,19
106,ls,soc1,sd,4,20,0,0,15,19,19,19,19,20
107,ls,soc1,sd,5,20,0,0,4,14,18,19,20,20
108,ls,soc1,sd,6,20,0,1,18,20,20,20,20,20
109,ss,ler,ld,1,21,0,1,5,5,5,6,8,8
110,ss,ler,ld,2,20,0,2,12,13,7,14,14,16
111,ss,ler,ld,3,20,0,0,6,10,19,12,12,12
112,ss,ler,ld,4,20,0,2,7,10,13,15,15,16
113,ss,ler,ld,5,20,0,3,13,17,17,18,18,18
114,ss,ler,ld,6,21,0,0,0,0,NA,NA,NA,NA
115,ss,ler,sd,1,20,0,0,3,3,5,7,6,9
116,ss,ler,sd,2,20,0,2,17,18,18,18,18,20
117,ss,ler,sd,3,20,0,0,6,12,14,15,15,15
118,ss,ler,sd,4,20,0,1,11,13,13,14,18,19
119,ss,ler,sd,5,18,0,0,9,16,18,18,18,18
120,ss,ler,sd,6,20,0,0,0,3,3,3,4,4
121,ss,ft,ld,1,20,0,0,7,13,10,16,16,17
122,ss,ft,ld,2,20,0,2,6,9,16,13,13,16
123,ss,ft,ld,3,20,0,0,3,3,13,3,3,6
124,ss,fd,ld,4,12,0,0,1,2,3,3,5,5
125,ss,ft,ld,5,20,0,5,8,12,14,1,19,19
126,ss,ft,ld,6,13,0,1,6,10,10,12,13,10
127,ss,ft,sd,1,20,3,4,12,19,18,19,20,20
128,ss,ft,sd,2,20,0,4,19,20,20,20,20,20
129,ss,ft,sd,3,20,0,0,3,4,6,7,8,12
130,ss,ft,sd,4,12,0,1,6,7,7,7,7,7
131,ss,ft,sd,5,20,0,4,17,17,18,19,18,19
132,ss,ft,sd,6,14,2,6,10,12,13,13,13,13
133,ss,fd,ld,1,20,0,3,16,18,18,18,18,18
134,ss,fd,ld,2,20,0,6,12,18,18,18,17,16
135,ss,fd,ld,3,20,0,2,7,8,18,11,13,14
136,ss,fd,ld,4,20,0,5,10,12,12,12,15,14
137,ss,fd,ld,5,20,0,0,12,14,13,15,16,16
138,ss,fd,ld,6,20,0,1,5,7,7,10,10,14
139,ss,fd,sd,1,20,0,3,14,15,16,16,16,16
140,ss,fd,sd,2,20,0,2,16,16,17,17,17,18
141,ss,fd,sd,3,20,0,3,6,9,12,14,13,14
142,ss,fd,sd,4,20,0,2,8,10,11,11,13,13
143,ss,fd,sd,5,20,0,2,13,14,14,16,17,17
144,ss,fd,sd,6,20,0,2,14,15,16,16,16,16
145,ss,soc1,ld,1,20,0,1,5,16,17,20,20,20
146,ss,soc1,ld,2,20,0,2,7,9,13,12,12,13
147,ss,soc1,ld,3,20,0,0,4,7,3,10,14,20
148,ss,soc1,ld,4,20,0,0,3,6,5,8,12,14
149,ss,soc1,ld,5,20,0,0,11,15,17,18,18,18
150,ss,soc1,ld,6,20,0,0,6,8,10,11,13,13
151,ss,soc1,sd,1,20,0,0,16,18,20,20,20,20
152,ss,soc1,sd,2,20,0,3,10,14,14,14,14,16
153,ss,soc1,sd,3,20,0,1,13,17,19,20,20,20
154,ss,soc1,sd,4,20,0,0,7,14,16,19,19,19
155,ss,soc1,sd,5,21,0,1,10,13,17,18,17,16
156,ss,soc1,sd,6,20,0,1,11,15,17,17,18,18
157,sl,ler,ld,1,20,0,11,19,19,19,19,20,20
158,sl,ler,ld,2,18,0,2,10,12,12,12,13,13
159,sl,ler,ld,3,19,0,0,18,19,12,18,19,19
160,sl,ler,ld,4,20,0,7,14,16,18,19,19,19
161,sl,ler,ld,5,21,0,0,11,14,18,20,20,20
162,sl,ler,ld,6,20,0,5,17,19,20,20,20,20
163,sl,ler,sd,1,21,0,10,21,21,21,21,20,20
164,sl,ler,sd,2,20,0,3,18,19,20,20,19,20
165,sl,ler,sd,3,20,0,7,18,19,20,20,20,20
166,sl,ler,sd,4,20,0,0,16,18,20,20,20,20
167,sl,ler,sd,5,21,0,5,19,19,20,20,21,21
168,sl,ler,sd,6,20,0,0,18,20,20,20,20,20
169,sl,ft,ld,1,20,0,0,2,5,15,8,10,11
170,sl,ft,ld,2,19,0,1,5,7,6,7,7,7
171,sl,ft,ld,3,20,0,1,9,16,18,18,15,18
172,sl,ft,ld,4,20,0,0,15,15,15,16,16,16
173,sl,ft,ld,5,20,0,2,13,14,13,14,13,15
174,sl,ft,ld,6,20,0,2,6,9,9,12,14,17
175,sl,ft,sd,1,20,0,3,8,15,16,18,19,19
176,sl,ft,sd,2,20,0,1,6,10,10,12,15,14
177,sl,ft,sd,3,20,0,1,7,15,18,18,18,19
178,sl,ft,sd,4,20,0,0,6,13,16,18,18,19
179,sl,ft,sd,5,20,0,0,8,16,17,19,20,20
180,sl,ft,sd,6,20,0,0,5,12,19,19,19,19
181,sl,fd,ld,1,21,0,2,13,16,12,18,17,16
182,sl,fd,ld,2,21,0,3,10,13,12,13,13,13
183,sl,fd,ld,3,20,0,7,15,16,15,15,16,15
184,sl,fd,ld,4,20,0,0,2,3,3,10,10,10
185,sl,fd,ld,5,20,0,1,2,2,4,5,6,13
186,sl,fd,ld,6,20,0,2,2,3,8,12,14,14
187,sl,fd,sd,1,21,0,0,13,17,17,18,17,18
188,sl,fd,sd,2,20,0,0,11,12,12,13,13,14
189,sl,fd,sd,3,20,0,7,19,19,19,19,19,19
190,sl,fd,sd,4,20,0,0,6,12,16,17,18,18
191,sl,fd,sd,5,20,0,0,5,7,10,14,17,19
192,sl,fd,sd,6,20,0,1,9,10,13,17,15,19
193,sl,soc1,ld,1,20,0,0,7,10,12,13,13,13
194,sl,soc1,ld,2,20,0,1,5,5,6,9,6,6
195,sl,soc1,ld,3,20,0,4,13,16,16,16,16,16
196,sl,soc1,ld,4,20,0,1,15,16,15,16,17,17
197,sl,soc1,ld,5,20,0,8,11,12,15,17,18,18
198,sl,soc1,ld,6,20,0,3,7,10,11,11,13,13
199,sl,soc1,sd,1,20,0,1,9,12,13,13,13,13
200,sl,soc1,sd,2,20,0,1,7,7,9,9,9,9
201,sl,soc1,sd,3,20,0,0,14,18,18,19,19,20
202,sl,soc1,sd,4,20,0,4,17,17,17,17,17,17
203,sl,soc1,sd,5,20,0,0,7,13,14,16,16,16
204,sl,soc1,sd,6,20,0,0,12,17,18,18,18,17
205,sl,ap1,ld,1,21,0,0,3,5,6,9,10,11
206,sl,ap1,ld,2,20,0,3,14,17,17,17,17,15
207,sl,ap1,ld,3,18,0,0,3,7,7,9,8,9
208,sl,ap1,ld,4,20,0,3,12,13,15,15,15,15
209,sl,ap1,ld,5,20,0,0,8,11,12,15,15,16
210,sl,ap1,ld,6,19,0,2,3,11,9,11,12,13
211,sl,ap1,sd,1,20,0,0,2,4,4,7,8,9
212,sl,ap1,sd,2,20,0,1,14,19,20,20,20,20
213,sl,ap1,sd,3,20,0,0,0,5,8,10,10,12
214,sl,ap1,sd,4,21,0,0,8,13,13,4,15,16
215,sl,ap1,sd,5,20,0,0,10,16,17,18,17,17
216,sl,ap1,sd,6,20,0,0,6,11,13,15,16,18
