Mat,GT,rep,N,germ,speed
NV,Col-0,1,20,20,8.666666667
NV,Col-0,2,20,20,8.833333333
NV,Col-0,2,20,20,8.283333333
NV,Col-0,9,20,20,9.666666667
NV,Col-0,5,20,20,9.166666667
NV,Col-0,6,20,20,9
NV,Col-0,8,20,20,8
NV,Col-0,8,20,20,8.5
NV,Col-0,9,20,20,9.666666667
NV,Col-0,10,20,20,10
NV,Col-0,11,20,20,9
NV,Col-0,11,20,20,10
NV,rdr2,1,20,18,7.95
NV,rdr2,2,20,19,5.442857143
NV,rdr2,3,20,18,4.253571429
NV,rdr2,4,20,20,8.5
NV,rdr2,5,20,20,8.7
NV,rdr2,6,20,19,8.083333333
NV,rdr2,7,20,19,6.366666667
NV,rdr2,8,20,20,9.833333333
NV,rdr2,9,20,18,7.666666667
NV,rdr2,10,20,19,8.166666667
NV,rdr2,11,20,20,8.166666667
NV,rdr2,12,20,20,6.483333333
NV,rdr6,1,20,20,6.916666667
NV,rdr6,2,20,20,9.5
NV,rdr6,3,20,20,9.5
NV,rdr6,4,20,20,9.25
NV,rdr6,5,20,20,10
NV,rdr6,6,20,20,8.833333333
NV,rdr6,7,20,20,8.666666667
NV,rdr6,8,20,20,9
NV,rdr6,9,20,20,9
NV,rdr6,10,20,17,5.75
NV,rdr6,11,20,20,9.5
NV,rdr6,12,20,20,8.666666667
NV,dcl234,1,20,20,9.166666667
NV,dcl234,2,20,20,9.25
NV,dcl234,3,20,17,7.166666667
NV,dcl234,3,20,20,8.666666667
NV,dcl234,5,20,20,7
NV,dcl234,6,20,20,8.333333333
NV,dcl234,7,20,20,7.50952381
NV,dcl234,8,20,20,9.083333333
NV,dcl234,9,20,20,8.666666667
NV,dcl234,10,20,19,8.166666667
NV,dcl234,11,20,20,7.316666667
NV,dcl234,12,20,20,9.083333333
NV,Ago__4,1,20,20,9.833333333
NV,Ago__4,1,20,20,10
NV,Ago__4,3,20,20,8.916666667
NV,Ago__4,4,20,19,7.833333333
NV,Ago__4,5,20,16,4.433333333
NV,Ago__4,6,20,20,8.283333333
NV,Ago__4,7,20,19,7.116666667
NV,Ago__4,8,20,20,7.666666667
NV,Ago__4,9,20,20,8.166666667
NV,Ago__4,10,20,20,8.033333333
NV,Ago__4,11,20,20,7.5
NV,Ago__4,12,20,20,9.083333333
NV,rdd,1,20,20,9.333333333
NV,rdd,2,20,20,9.5
NV,rdd,3,20,20,9.666666667
NV,rdd,4,20,20,9.416666667
NV,rdd,5,20,19,8.566666667
NV,rdd,6,20,20,8.416666667
NV,rdd,7,20,20,9.5
NV,rdd,8,20,20,9.25
NV,rdd,9,20,20,8.333333333
NV,rdd,10,20,20,9.083333333
NV,rdd,11,20,12,6
NV,rdd,12,20,20,9.583333333
NV,nrpd2a,1,20,20,9.5
NV,nrpd2a,2,20,18,9
NV,nrpd2a,3,20,16,8
NV,nrpd2a,4,20,18,8.5
NV,nrpd2a,5,20,19,9.5
NV,nrpd2a,6,20,20,10
NV,nrpd2a,7,20,19,9
NV,nrpd2a,8,20,8,3.666666667
NV,nrpd2a,9,20,20,9.5
NV,nrpd2a,10,20,20,9.083333333
NV,nrpd2a,11,20,20,9.366666667
NV,nrpd2a,12,20,20,9
V,Col-0,1,20,18,8.416666667
V,Col-0,2,20,15,5.833333333
V,Col-0,3,20,15,6.55952381
V,Col-0,4,20,19,9.033333333
V,Col-0,5,20,20,9
V,Col-0,6,20,20,9.666666667
V,Col-0,6,20,20,9.833333333
V,Col-0,8,20,14,5.516666667
V,Col-0,9,20,20,9.333333333
V,Col-0,10,20,20,9.333333333
V,Col-0,12,20,18,8.25
V,Col-0,12,20,18,8.833333333
V,rdr2,1,20,20,9.583333333
V,rdr2,2,20,15,6.45
V,rdr2,3,20,18,7
V,rdr2,4,20,18,8.2
V,rdr2,5,20,14,5
V,rdr2,6,20,20,9.666666667
V,rdr2,7,10,0,0
V,rdr2,8,20,19,9.333333333
V,rdr2,9,20,12,4.916666667
V,rdr2,10,20,16,6.25
V,rdr2,11,20,17,6.833333333
V,rdr2,12,20,18,8.333333333
V,rdr6,1,15,3,0.833333333
V,rdr6,2,20,20,9.666666667
V,rdr6,3,20,19,9
V,rdr6,4,20,19,8.283333333
V,rdr6,4,20,19,8.416666667
V,rdr6,6,20,20,8.916666667
V,rdr6,7,20,20,9.2
V,rdr6,8,20,20,9.5
V,rdr6,9,20,20,8.616666667
V,rdr6,10,20,14,5.75
V,rdr6,11,20,3,0.7
V,rdr6,9,20,20,9.416666667
V,dcl234,1,20,12,5.2
V,dcl234,2,20,13,6.166666667
V,dcl234,3,20,18,7.916666667
V,dcl234,4,20,11,5
V,dcl234,5,20,20,9.416666667
V,dcl234,6,20,19,8.916666667
V,dcl234,7,15,8,3.833333333
V,dcl234,9,20,18,7.666666667
V,dcl234,9,20,18,8.416666667
V,dcl234,10,20,20,9.5
V,dcl234,12,20,20,8.25
V,dcl234,12,20,20,10
V,Ago__4,1,20,14,5.726190476
V,Ago__4,2,20,20,9.25
V,Ago__4,3,20,19,8.866666667
V,Ago__4,5,20,17,6.642857143
V,Ago__4,5,20,19,7.892857143
V,Ago__4,6,20,14,5.595238095
V,Ago__4,7,20,20,8.5
V,Ago__4,8,20,19,8.4
V,Ago__4,9,20,18,8.392857143
V,Ago__4,10,20,17,7.7
V,Ago__4,11,20,18,8.166666667
V,Ago__4,12,20,19,8.25
V,rdd,1,20,7,3.5
V,rdd,2,20,3,1.5
V,rdd,3,20,6,2.5
V,rdd,4,10,3,1.5
V,rdd,5,20,18,7.033333333
V,rdd,6,20,20,8.666666667
V,rdd,7,20,20,9.333333333
V,rdd,8,20,12,4.2
V,rdd,9,20,12,4.166666667
V,rdd,10,20,5,1.833333333
V,rdd,11,20,4,1.75
V,rdd,12,20,5,2.166666667
V,nrpd2a,1,20,20,9.333333333
V,nrpd2a,2,20,9,3.773809524
V,nrpd2a,3,20,2,1.333333333
V,nrpd2a,4,20,20,7.95
V,nrpd2a,5,20,7,3.166666667
V,nrpd2a,6,10,1,0.5
V,nrpd2a,7,20,18,7.366666667
V,nrpd2a,8,20,10,4.2
V,nrpd2a,9,20,20,9.25
V,nrpd2a,10,20,17,6.50952381
V,nrpd2a,11,20,15,6.142857143
V,nrpd2a,12,20,9,3.916666667
